month,rule,delay,trades,pnl_usd,capital_usd,in_play_share,scope
2025-12,random,5,24,-244.8132686325277,805.786426137373,0.4166666666666667,tennis
2025-12,random,30,25,-207.91849628454912,805.2086303905818,0.48,tennis
2026-01,z,0,1132,-2854.2465365921157,18311.595159553726,0.9425795053003534,tennis
2026-01,z,5,1310,-2403.236637315851,17242.37872862898,0.9435114503816794,tennis
2026-01,z,30,974,-1182.981563065031,19003.81451297091,0.9291581108829569,tennis
2026-01,random,0,572,-80.05281513484283,16041.1494140181,0.7884615384615384,tennis
2026-01,random,5,557,-699.8762766101033,15585.22233366042,0.7863554757630161,tennis
2026-01,random,30,596,-441.26093010624453,16065.23819129407,0.7986577181208053,tennis
2026-02,z,0,4244,2212.1477299214284,69467.6876019037,0.3202167766258247,tennis
2026-02,z,5,4265,1825.9435726665856,69461.3365920317,0.3399765533411489,tennis
2026-02,z,30,3472,444.18604847621134,69153.92389005801,0.38306451612903225,tennis
2026-02,random,0,4167,-1204.1802576131977,65098.935749036245,0.7381809455243581,tennis
2026-02,random,5,4113,-4357.2708264499215,65094.09948394017,0.7403355215171408,tennis
2026-02,random,30,3446,-3534.5950717164596,65448.349410480674,0.7202553685432386,tennis
2026-03,z,0,2228,-18.303049141067163,34162.925597307825,0.5709156193895871,tennis
2026-03,z,5,2226,1716.695624173781,34268.753116598644,0.5840071877807727,tennis
2026-03,z,30,1988,-106.30489466794234,34174.038471736676,0.6106639839034205,tennis
2026-03,random,0,2884,3368.7609527060276,33124.75342359411,0.7888349514563107,tennis
2026-03,random,5,2675,1635.904603612178,33175.54326412421,0.7865420560747663,tennis
2026-03,random,30,2138,3253.2651055761876,32768.7344474422,0.7511693171188026,tennis
2026-04,z,0,5030,-2254.058096736216,84329.7490161804,0.685089463220676,tennis
2026-04,z,5,5243,-1106.24240198757,84039.33974950598,0.7018882319282853,tennis
2026-04,z,30,4928,-3827.316833201353,83570.6125031474,0.7112418831168831,tennis
2026-04,random,0,2089,-2758.6936950032796,44331.10378251935,0.8621349928195309,tennis
2026-04,random,5,2142,-2481.2939393387014,47690.67869905014,0.8683473389355743,tennis
2026-04,random,30,2126,-2279.0149123491415,48849.2621427126,0.8654750705550329,tennis
2026-05,z,0,2038,71.70071839986895,41310.15136347333,0.9038272816486752,tennis
2026-05,z,5,1982,-380.3856201667254,38022.8795556619,0.9081735620585267,tennis
2026-05,z,30,1986,137.080121815937,38765.533910111204,0.9063444108761329,tennis
2026-05,random,0,2269,-3637.8114877310886,40530.79596127347,0.743058616130454,tennis
2026-05,random,5,2289,-4095.6535466689757,43859.42726082928,0.743993010048056,tennis
2026-05,random,30,2203,-3571.0511623033217,46765.84280009571,0.7371765773944621,tennis
2026-06,z,0,1605,-184.95411591567847,27793.28338046502,0.8623052959501558,tennis
2026-06,z,5,1423,-1088.2608482091075,24506.13837278644,0.8489107519325368,tennis
2026-06,z,30,1406,-1493.3097461235436,24367.459746079287,0.84850640113798,tennis
2026-06,random,0,556,2605.079790842151,12562.229782892124,0.7679856115107914,tennis
2026-06,random,5,545,2269.8668316766316,12961.390939032091,0.763302752293578,tennis
2026-06,random,30,542,290.26006354835886,13290.612007168063,0.7527675276752768,tennis
2026-07,z,0,1191,-1878.5825109235038,23959.949193688655,0.927791771620487,tennis
2026-07,z,5,1114,-1814.9678203865583,23007.947242130722,0.921903052064632,tennis
2026-07,z,30,1087,-14.530865368242075,21491.761450482976,0.9264029438822448,tennis
2026-07,random,0,2026,-1395.5119040237782,47075.803256458494,0.9170779861796644,tennis
2026-07,random,5,1976,218.234358946906,45826.285174334946,0.9134615384615384,tennis
2026-07,random,30,2064,2607.820589910462,44043.618459602374,0.9098837209302325,tennis
2026-08,z,0,8792,-202.25369540851307,136948.2939827436,0.9110555050045496,tennis
2026-08,z,5,7998,-2681.3106334607614,137185.20011100895,0.8979744936234059,tennis
2026-08,z,30,7655,-1110.0925953595404,137715.6027341602,0.889745264532985,tennis
2026-08,random,0,695,-1633.22306070061,18245.286582902587,0.8474820143884892,tennis
2026-08,random,5,684,-1691.454330453158,17126.504283481678,0.8552631578947368,tennis
2026-08,random,30,658,-1837.6462245608564,17620.871008131366,0.8586626139817629,tennis
2025-07,z,0,132,-404.3295289328112,2981.8904268423457,0.696969696969697,basketball
2025-07,z,5,129,-392.37011090311773,2984.912027309433,0.7054263565891473,basketball
2025-07,z,30,125,-526.4131531409407,2748.256237556505,0.696,basketball
2025-07,random,0,38,221.38493453770184,1280.495686097281,0.10526315789473684,basketball
2025-07,random,5,38,221.52493440418743,1280.3556862307953,0.10526315789473684,basketball
2025-07,random,30,35,244.19024967770713,1296.0556900095173,0.11428571428571428,basketball
2025-08,z,0,42,769.0072660763573,1615.203565509074,0.8095238095238095,basketball
2025-08,z,5,41,664.2192653896241,1719.9915661958075,0.8048780487804879,basketball
2025-08,z,30,43,525.8274570404539,1704.4782363312486,0.813953488372093,basketball
2025-08,random,0,16,11.36381436829727,366.35778898829426,0.875,basketball
2025-08,random,5,15,12.6787131692425,365.04289018734903,0.8666666666666667,basketball
2025-08,random,30,14,22.473820322570575,436.10398849743035,0.8571428571428571,basketball
2025-09,z,0,108,406.17925568251854,3252.919961741698,0.7777777777777778,basketball
2025-09,z,5,112,623.0856190170496,3078.9695617150437,0.7589285714285714,basketball
2025-09,z,30,101,961.5584021952363,3015.1220716891594,0.7623762376237624,basketball
2025-09,random,0,60,424.0144881919725,1421.947568886149,0.8,basketball
2025-09,random,5,63,426.93903194758167,1428.4965788387938,0.7619047619047619,basketball
2025-09,random,30,59,497.44257682083975,1342.705090161238,0.7796610169491526,basketball
2025-10,z,0,368,-55.55704026237731,12855.31599366496,0.5489130434782609,basketball
2025-10,z,5,371,980.1009129592377,12747.542122367731,0.5444743935309974,basketball
2025-10,z,30,354,403.0294140629688,12714.521879712272,0.5480225988700564,basketball
2025-10,random,0,296,-407.38701584813873,11519.261096061442,0.4527027027027027,basketball
2025-10,random,5,301,387.80639126563904,11509.579292038658,0.46179401993355484,basketball
2025-10,random,30,318,790.6422531562071,11421.218625658446,0.5188679245283019,basketball
2025-11,z,0,857,-1177.544318137588,25018.06809764685,0.16569428238039674,basketball
2025-11,z,5,889,-452.5090335005061,24919.1586885133,0.16422947131608548,basketball
2025-11,z,30,1012,-204.00781033704334,24855.524762324585,0.17193675889328064,basketball
2025-11,random,0,925,915.7597278423743,23512.47405978392,0.20432432432432432,basketball
2025-11,random,5,956,730.8568923319409,23584.412572408626,0.19246861924686193,basketball
2025-11,random,30,977,1054.392031919065,23712.003557103126,0.20061412487205732,basketball
2025-12,z,0,1112,2234.226478007429,28213.44546133653,0.6330935251798561,basketball
