side,threshold,sport,period,signals,bets,avg_price,won_pct,edge_pts,roi,ci_lo,ci_hi,pnl_usd,in_play_share
favorite >= 95%,0.95,soccer,holdout,1649,1437,0.9526427125735837,0.9540709853172302,0.0014282727436465414,-0.008215926137217814,-0.026342132291911895,0.008431787181151316,-450.08873045932916,0.9812108559498957
favorite >= 95%,0.95,soccer,all,5303,4673,0.9530924452214049,0.9465011954307556,-0.0065912497906492895,-0.008042422127162835,-0.017864460707342666,0.0017265125594184754,-1283.4982040482378,0.976888508452814
favorite >= 95%,0.95,cricket,dev,263,257,0.9552768095458064,0.9533073902130127,-0.0019694193327937093,-0.0013065902590119502,-0.038094376638301286,0.029206570334881776,-17.139828093123725,0.980544747081712
favorite >= 95%,0.95,cricket,holdout,112,111,0.9576299109974423,0.9819819927215576,0.024352081724115293,0.03923509927241779,0.032041881902255355,0.04576838737493211,228.0204816895675,1.0
favorite >= 95%,0.95,cricket,all,375,368,0.955986576559751,0.9619565010070801,0.0059699244473291335,0.011140243005833191,-0.013130907918020622,0.031243685268522132,210.88065359644384,0.9864130434782609
favorite >= 95%,0.95,baseball,dev,2348,2176,0.9505546953501728,0.9480698704719543,-0.002484824878218439,0.0021012203049657154,-0.012343772120006367,0.01594261129977055,180.25010209417854,0.9963235294117647
favorite >= 95%,0.95,baseball,holdout,969,929,0.9498203093320355,0.9537136554718018,0.0038933461397662184,-0.024632792152699718,-0.05331055202384359,0.0016854894627274808,-704.4916945549614,1.0
favorite >= 95%,0.95,baseball,all,3317,3105,0.9503349708378219,0.9497584700584412,-0.0005765007793807619,-0.004583201125706814,-0.018025113134846893,0.0073469945778865285,-524.2415924607828,0.9974235104669887
favorite >= 95%,0.95,mma_boxing,dev,263,187,0.9518943258466568,0.9545454382896423,0.002651112442985548,0.010147458976100981,-0.02907892719371192,0.04309797051654706,95.65654395934342,1.0
favorite >= 95%,0.95,mma_boxing,holdout,110,85,0.9444794816129348,0.9411764740943909,-0.0033030075185439545,-0.024800495376795732,-0.10977492316566077,0.04098902479771122,-99.07509756921917,1.0
favorite >= 95%,0.95,mma_boxing,all,373,272,0.9495771870236186,0.9503676295280457,0.000790442504427058,-0.00025470662758212185,-0.03572097452857078,0.029660850434910704,-3.418553609875783,1.0
favorite >= 95%,0.95,hockey,dev,1517,1407,0.9510842144235111,0.9438521862030029,-0.007232028220508169,0.001291205002407579,-0.018033369133070958,0.02195663110867184,82.01029897735668,0.9936034115138592
favorite >= 95%,0.95,hockey,all,1517,1407,0.9510842144235111,0.9438521862030029,-0.007232028220508169,0.001291205002407579,-0.018033369133070958,0.02195663110867184,82.01029897735668,0.9936034115138592
favorite >= 95%,0.95,other,dev,87,74,0.956128604508735,0.9594594836235046,0.0033308791147695915,0.04034388297736197,0.032575933895215896,0.04745107909627998,119.51736843557146,1.0
favorite >= 95%,0.95,other,all,110,97,0.9575304210800486,0.969072163105011,0.011541742024962387,0.0400097570709228,0.03378240748851712,0.04618858634897507,155.64683042640957,1.0
favorite >= 95%,0.95,ALL,dev,17542,16046,0.9524974826215828,0.9502679705619812,-0.002229512059601646,-0.0005365531049703755,-0.005544237947340061,0.004466590882784861,-373.1695855297414,0.9856662096472641
favorite >= 95%,0.95,ALL,holdout,6984,6299,0.9528518444627102,0.9526908993721008,-0.00016094509060937678,-0.007902610703945575,-0.01627021623174554,0.0005785515799498627,-1952.0896875573792,0.9915859660263534
favorite >= 95%,0.95,ALL,all,24526,22345,0.9525973763444409,0.9509509801864624,-0.001646396157978458,-0.002467085733765735,-0.006735730701101541,0.0018652922058101842,-2325.2592730871206,0.9873349742671739
underdog <= 5%,0.95,tennis,dev,3483,3460,0.0338442638517099,0.03005780279636383,-0.003786461055346073,0.36315889541831153,-0.11370275563049696,0.8877960483934215,9230.050999487696,0.9858381502890173
underdog <= 5%,0.95,tennis,holdout,2601,2591,0.035047318926835894,0.03126206248998642,-0.003785256436849474,-0.04942717837382402,-0.4400127910062347,0.4103316258363845,-1287.2915923326639,0.9907371671169433
underdog <= 5%,0.95,tennis,all,6084,6051,0.03435940443998481,0.030573459342122078,-0.0037859450978627307,0.1543475663776584,-0.1670663220566134,0.4852123137093227,7942.75940715503,0.9879358783672121
underdog <= 5%,0.95,esports,dev,2677,2649,0.037737884275499546,0.025670064613223076,-0.01206781966227647,-0.3724271569204868,-0.6660209164972131,0.026070684433719075,-6756.408406489477,0.9894299735749339
underdog <= 5%,0.95,esports,holdout,1350,1347,0.03732660819896315,0.028953230008482933,-0.008373378190480216,-0.3187349306720326,-0.6661993060321497,0.09190836972280976,-2523.570990691223,0.9948032665181886
underdog <= 5%,0.95,esports,all,4027,3996,0.037599248420871284,0.02677677758038044,-0.010822470840490844,-0.3561139533596301,-0.6028447124249973,-0.07082100384709207,-9279.979397180701,0.9912412412412412
underdog <= 5%,0.95,basketball,dev,2674,2641,0.0419968412940883,0.03445664420723915,-0.007540197086849151,0.14588561020020255,-0.26285146696115935,0.5912100959872726,4230.856730368441,0.9946989776599773
underdog <= 5%,0.95,basketball,holdout,159,158,0.036595285768455624,0.025316456332802773,-0.011278829435652851,-0.7680882616374486,-0.9846729304398498,-0.397631408721059,-689.3897455372332,1.0
underdog <= 5%,0.95,basketball,all,2833,2799,0.04169193033551383,0.033940691500902176,-0.007751238834611651,0.11844873226650805,-0.2913297088144046,0.5620331258800734,3541.466984831208,0.9949982136477313
underdog <= 5%,0.95,american_football,dev,786,739,0.042149694696168326,0.029769958928227425,-0.012379735767940901,-0.2944458310179314,-0.7616895012837116,0.33992153912986134,-2415.725512657181,0.9905277401894452
underdog <= 5%,0.95,american_football,holdout,104,96,0.042222678932982184,0.0625,0.020277321067017816,0.280770819291308,-0.9292781003720824,2.5808999242592376,260.7452709058814,1.0
underdog <= 5%,0.95,american_football,all,890,835,0.042158085698245126,0.03353293240070343,-0.008625153297541696,-0.23595564537196617,-0.7152410769367139,0.3794198065723892,-2154.9802417512988,0.9916167664670659
underdog <= 5%,0.95,soccer,dev,3686,3622,0.03933236569615903,0.038652677088975906,-0.000679688607183121,-0.24123316930050556,-0.48818860633080935,0.04664102298635321,-5284.053648682664,0.9790171176145775
underdog <= 5%,0.95,soccer,holdout,1673,1628,0.03843189662331555,0.03255528211593628,-0.005876614507379273,-0.2147153049349699,-0.6867007729681653,0.3880519145795893,-2568.8198068071238,0.9889434889434889
underdog <= 5%,0.95,soccer,all,5359,5250,0.039053134524618234,0.03676190599799156,-0.002291228526626672,-0.23186580750555302,-0.46352759850280895,0.0384197462477587,-7852.873455489789,0.9820952380952381
underdog <= 5%,0.95,cricket,dev,271,267,0.04009516854126927,0.033707864582538605,-0.006387303958730668,0.8284472781466378,-0.9465502977595529,3.9748424828316375,1601.2647089045142,0.9887640449438202
underdog <= 5%,0.95,cricket,holdout,113,113,0.03257835161896933,0.017699114978313446,-0.014879236640655887,-0.08044710236706216,-1.0,1.8750667811926665,-54.80061779641466,1.0
underdog <= 5%,0.95,cricket,all,384,380,0.037859904561743235,0.028947368264198303,-0.008912536297544932,0.5915967309648519,-0.8936884113145478,2.915651894458074,1546.4640911080996,0.9921052631578947
underdog <= 5%,0.95,baseball,dev,2411,2374,0.040142827435397,0.03243470937013626,-0.007708118065260741,-0.064176084285918,-0.5023146116925884,0.4157506011035369,-1141.200973168742,0.9962089300758215
underdog <= 5%,0.95,baseball,holdout,972,969,0.04088985314616747,0.037151701748371124,-0.0037381513977963465,-0.011895803260553018,-0.5851336280112512,0.7081799112399639,-96.68966959014756,1.0
underdog <= 5%,0.95,baseball,all,3383,3343,0.04035935986547076,0.03380197286605835,-0.006557386999412412,-0.047775841375738835,-0.3995110115289528,0.3414507705401679,-1237.89064275889,0.9973078073586599
underdog <= 5%,0.95,mma_boxing,dev,279,274,0.02668182986931209,0.025547444820404053,-0.001134385048908039,-0.6182674267366304,-0.9760822115465796,0.03941741187479584,-1177.188486725473,1.0
underdog <= 5%,0.95,mma_boxing,holdout,113,113,0.03935066536398588,0.03539822995662689,-0.003952435407358991,2.09669168361619,-0.9774373208034802,7.031165053385102,1729.9973086522134,1.0
underdog <= 5%,0.95,mma_boxing,all,392,387,0.030380998889720717,0.028423773124814034,-0.001957225764906683,0.20255937335771093,-0.8965121355009256,1.954634368096825,552.8088219267407,1.0
