selected,active_p2,p2_markets,p2_staked,p2_roi,p2_roi_net_fee,copy_d0_roi,copy_d0_ci,copy_d0_trades,copy_d5_roi,copy_d5_ci,copy_d5_trades,copy_d30_roi,copy_d30_ci,copy_d30_trades,copy_d30_prop_roi,copy_d30_prop_ci,copy_d60_roi,copy_d60_ci,copy_d60_trades,rule,p1_roi,p1_median_z,family
,120636,,,0.0032178528069935868,-0.009288728887304165,,,,,,,,,,,,,,,all takers,,,tennis
50.0,19,5883.0,16807330.59983084,0.025526694115377238,0.016915573339601957,0.02490905801968236,-0.017..+0.068,10936.0,0.014493336515914845,-0.023..+0.056,11413.0,-0.027141920945247523,-0.063..+0.010,11001.0,-0.022686152246190496,-0.055..+0.012,-0.013185803281951458,-0.052..+0.025,10734.0,pnl,0.23797104705965663,1.322126617832227,esports
50.0,43,4564.0,1454236.7485330238,0.010048481255436684,0.005155261009608684,-0.046202079081564706,-0.099..+0.003,5115.0,-0.052896654066198256,-0.105..+0.000,5106.0,-0.044356988347974455,-0.098..+0.009,4972.0,-0.011110564110865124,-0.075..+0.059,-0.028962955726608373,-0.083..+0.033,4911.0,roi,0.3150187410121056,1.7680111688541715,esports
50.0,42,9226.0,14962240.687366141,0.018977150228036983,0.010549821407101048,0.007438786775407138,-0.028..+0.043,11981.0,0.01901332891682893,-0.013..+0.055,12231.0,-0.01497300806548815,-0.050..+0.018,11864.0,-0.026694953632511214,-0.056..+0.002,-0.00341647752263913,-0.035..+0.030,11678.0,z,0.12393922446273035,2.7908681452761557,esports
50.0,33,3875.0,5125665.725988734,0.018036373257956446,0.016255024340413343,-0.025165507579117535,-0.057..+0.005,4424.0,-0.031497255086096784,-0.062..-0.003,4212.0,0.005693371472317779,-0.028..+0.038,4038.0,0.0028729425644830756,-0.017..+0.025,-0.017835385915003766,-0.047..+0.011,3975.0,win_rate,0.020135348759065703,0.8350963083567389,esports
50.0,33,8964.0,50387981.32298319,-0.007063404574812038,-0.011725680833698507,-0.0022627557714875782,-0.033..+0.033,14008.0,-0.017516898332760104,-0.046..+0.012,14106.0,-0.009674518815480204,-0.051..+0.041,13255.0,-0.039522924871471576,-0.062..-0.016,-0.019781006286900205,-0.057..+0.013,12653.0,whales,0.036641002023499826,0.365975921592512,esports
15.0,13,2057.0,4288981.269980873,0.06939287530863585,0.056973070615661696,0.044765868850111516,-0.012..+0.105,4656.0,0.013577765866971155,-0.043..+0.070,4858.0,-0.013065910191766138,-0.070..+0.039,4913.0,-0.010097957153554483,-0.045..+0.023,0.0016726554519589589,-0.051..+0.057,4757.0,fdr,0.12771475177398095,4.471224012049345,esports
,168543,,,-0.0002951361396476489,-0.012437976940145642,,,,,,,,,,,,,,,all takers,,,esports
50.0,27,6049.0,84286691.371853,-0.03619101543127756,-0.03766471467945895,0.009821872181307732,-0.036..+0.050,14927.0,-0.010491675164627765,-0.057..+0.035,13825.0,0.023675836186484812,-0.021..+0.069,11839.0,-0.0004590049034438349,-0.031..+0.029,-0.007125863492912614,-0.052..+0.037,11367.0,pnl,0.10847718163077781,1.4850746744679786,basketball
50.0,33,1292.0,168482.67745206866,0.19290000414843822,0.19223696979675287,0.10833514215087596,-0.032..+0.245,1206.0,0.09072745300521629,-0.039..+0.226,1221.0,0.14581281300346557,-0.002..+0.313,1184.0,0.12176828831929902,-0.033..+0.330,0.09893738800788428,-0.042..+0.255,1211.0,roi,0.7557644536043203,2.1175775216781307,basketball
50.0,31,1489.0,710110.4754854768,-0.03930694378966104,-0.04038695843979551,0.20319448434869208,+0.014..+0.491,1729.0,0.0020574057509940907,-0.103..+0.109,1682.0,0.048889702521709336,-0.066..+0.175,1674.0,-0.02548709971793808,-0.104..+0.058,0.01917545089840827,-0.093..+0.129,1651.0,z,0.0972301383455164,3.735768244480708,basketball
50.0,30,1616.0,1552634.650738069,0.02209974872120265,0.02154038699577614,-0.003515457760738451,-0.023..+0.016,1549.0,0.003574234197713753,-0.016..+0.022,1504.0,0.010589705638949572,-0.008..+0.032,1415.0,0.012924889432385485,-0.016..+0.046,-0.00904668303829349,-0.029..+0.011,1411.0,win_rate,0.00891169315926175,-0.019114505103871013,basketball
50.0,29,9827.0,149098152.2449189,0.010718253336254594,0.007591086116185828,0.0008206739479642301,-0.044..+0.046,14521.0,-0.014287513752209966,-0.062..+0.033,13626.0,0.002460801546838329,-0.038..+0.046,11949.0,0.00490399496028557,-0.023..+0.034,-0.01726832154545623,-0.059..+0.027,11608.0,whales,-0.003955926691437935,0.2551212488840824,basketball
33.0,20,1123.0,378991.0372855669,-0.02843411126978884,-0.03004112952819097,0.07633115920064537,-0.032..+0.199,1482.0,-0.03587618432538007,-0.130..+0.060,1416.0,0.030948486369642123,-0.085..+0.165,1440.0,-0.01865621693086208,-0.121..+0.084,-0.017300162079716686,-0.118..+0.090,1409.0,fdr,0.057757537367336444,4.310601280993607,basketball
,220661,,,0.002922588165203671,-0.0017146387076425974,,,,,,,,,,,,,,,all takers,,,basketball
